URL,画像URL,名前,タンパク質,脂質,炭水化物,食物繊維,カリウム,カルシウム,鉄,亜鉛,ビタミンA,ビタミンB1,ビタミンB2,ビタミンC,ビタミンD,ビタミンE,Unnamed: 16
https://www.kurashiru.com/recipes/b3416d26-c3f3-4c23-96c2-a42207f24b40,https://video.kurashiru.com/production/videos/b3416d26-c3f3-4c23-96c2-a42207f24b40/compressed_thumbnail_square_large.jpg?1705633675,定番のコロッケ,0.051866744,0.041986117,0.058082247,0.032031973,0.002800867,0.000157336,8.7487e-06,2.5739e-06,4.955e-07,3.43e-06,1.0316e-06,0.0001947181,4.4e-09,4.0774e-06,0.966
https://www.kurashiru.com/recipes/4f9ecd73-23b8-4cca-8bd0-40f4e47a40ac,https://video.kurashiru.com/production/videos/4f9ecd73-23b8-4cca-8bd0-40f4e47a40ac/compressed_thumbnail_square_large.jpg?1639367889,とろっとろ！カニカマクリームコロッケ,0.055070079,0.106652155,0.187535145,0.008898917,0.001429539,0.000480304,6.9018e-06,3.9044e-06,4.821e-07,4.419e-07,7.598e-07,2.52793e-05,7e-09,1.56995e-05,6.8654
https://www.kurashiru.com/recipes/7b508edf-12cb-4cf7-8834-b166e07da025,https://video.kurashiru.com/production/videos/7b508edf-12cb-4cf7-8834-b166e07da025/compressed_thumbnail_square_large.jpg?1646791913,手作り煮あげで きつねうどん,0.036691892,0.018618919,0.180183784,0.008810811,0.000481622,0.00025427,5.0459e-06,3.1865e-06,0.0,1.949e-07,2.649e-07,0.0,0.0,1.2757e-06,6.76
https://www.kurashiru.com/recipes/91019dd0-d7cb-42ed-aa05-25dd4ff7e279,https://video.kurashiru.com/production/videos/91019dd0-d7cb-42ed-aa05-25dd4ff7e279/compressed_thumbnail_square_large.jpg?1639367889,簡単に本格的なカレーうどん,0.115954545,0.096608696,0.156189723,0.015475296,0.001805988,0.000201957,1.02342e-05,1.02658e-05,1.98e-08,3.0687e-06,9.209e-07,5.0395e-06,4e-10,1.5652e-06,4.4535
https://www.kurashiru.com/recipes/735a08b5-301c-438e-b61e-0a53b1dca6ac,https://video.kurashiru.com/production/videos/735a08b5-301c-438e-b61e-0a53b1dca6ac/compressed_thumbnail_square_large.jpg?1639367889,野菜たっぷり ブリしゃぶ,0.057523438,0.034365234,0.068397135,0.013457031,0.002604414,0.000158867,7.2767e-06,3.8158e-06,1.9681e-06,0.0014269174,1.6666e-06,0.0001216309,2.13e-08,1.1013e-05,12.318
https://www.kurashiru.com/recipes/80fa9f69-42a3-41e5-b806-9f0b98fea7ab,https://video.kurashiru.com/production/videos/80fa9f69-42a3-41e5-b806-9f0b98fea7ab/compressed_thumbnail_square_large.jpg?1708490552,ごまだれ冷しゃぶうどん,0.078427522,0.081520374,0.097377422,0.007312625,0.001334549,0.000222766,3.9552e-06,7.4876e-06,7.57e-08,2.6424e-06,6.851e-07,2.9352e-05,3e-10,2.9646e-06,6.162
https://www.kurashiru.com/recipes/73eebe21-2a57-4d91-9b63-40159e53d5f0,https://video.kurashiru.com/production/videos/73eebe21-2a57-4d91-9b63-40159e53d5f0/compressed_thumbnail_square_large.jpg?1639367889,ささみシソ天ぷら,0.153126761,0.00871831,0.299760563,0.011887324,0.002470423,0.000638592,6.4648e-06,1.68451e-05,4.299e-07,1.0225e-06,4.3563e-06,1.09859e-05,0.0,3.3099e-06,0.336
https://www.kurashiru.com/recipes/de4804eb-7ccb-4456-af9b-a82b133baf4e,https://video.kurashiru.com/production/videos/de4804eb-7ccb-4456-af9b-a82b133baf4e/compressed_thumbnail_square_large.jpg?1639367889,さくさくとり天！のり塩風味,0.140701493,0.064911126,0.202527137,0.007476255,0.001958779,0.000377422,9.1296e-06,6.0699e-06,5.395e-07,7.056e-07,2.7593e-06,1.11262e-05,3e-10,1.8182e-06,1.6545
https://www.kurashiru.com/recipes/556bcf32-451d-4daa-9968-78418733db3d,https://video.kurashiru.com/production/videos/556bcf32-451d-4daa-9968-78418733db3d/compressed_thumbnail_square_large.jpg?1710299038,ほっこり！簡単肉じゃが,0.041769369,0.097045045,0.077825225,0.041950751,0.002759922,0.000100697,6.4745e-06,1.26084e-05,1.2528e-06,0.0013158133,6.93e-07,0.0001139249,0.0,2.1033e-06,3.416
https://www.kurashiru.com/recipes/1fb57b76-e47d-4b6d-96f3-757873742da6,https://video.kurashiru.com/production/videos/1fb57b76-e47d-4b6d-96f3-757873742da6/compressed_thumbnail_square_large.jpg?1639367889,ホクホク塩肉じゃが,0.021596467,0.052714325,0.025365167,0.019279051,0.001296666,4.52884e-05,2.8004e-06,2.49125e-05,5.846e-07,0.0006052586,2.69e-07,5.12517e-05,7e-10,1.0776e-06,7.6795
https://www.kurashiru.com/recipes/224b8ebf-a88e-4deb-9d8c-8df3b180b5a3,https://video.kurashiru.com/production/videos/224b8ebf-a88e-4deb-9d8c-8df3b180b5a3/compressed_thumbnail_square_large.jpg?1639367889,とろ〜り仕上げる！基本の親子丼,0.114024633,0.114113783,0.057785337,0.000718475,0.001184575,9.61173e-05,6.7853e-06,1.17026e-05,4.248e-07,4.968e-07,1.6598e-06,8.5748e-06,3.3e-09,1.5413e-06,4.63
https://www.kurashiru.com/recipes/e3fd1786-3931-4324-81a6-1f1f5b02ed55,https://video.kurashiru.com/production/videos/e3fd1786-3931-4324-81a6-1f1f5b02ed55/compressed_thumbnail_square_large.jpg?1713835947,簡単ふわとろ！親子丼,0.102199791,0.138324268,0.061408996,0.001778243,0.001177552,9.68828e-05,6.319e-06,1.05931e-05,3.776e-07,4.763e-07,1.4837e-06,1.25523e-05,2.9e-09,5.6705e-06,4.212
https://www.kurashiru.com/recipes/a8ae4ff9-da43-4266-8805-d6de479fd4d1,https://video.kurashiru.com/production/videos/a8ae4ff9-da43-4266-8805-d6de479fd4d1/compressed_thumbnail_square_large.jpg?1639367889,かんたん麻婆豆腐,0.08158478,0.078899512,0.062593171,0.014026341,0.002320603,0.000517193,1.2472e-05,1.02835e-05,1.965e-07,2.3552e-06,1.0154e-06,6.656e-06,8e-10,5.3319e-06,4.7624
